Entitas,Label
luluk nur hamidah,PER
dpp pkb jakarta,NOR
lu,PER
israel,GPE
amerika serikat,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
pemerintah iran,NOR
amerika serikat,GPE
israel,GPE
republik islam iran,NOR
presiden as,NOR
donald trump,PER
truth,PRD
iran,GPE
khamene,PER
trump,PER
indonesia,GPE
al jaz,ORG
##eera,NOR
pemerintah,NOR
yogi ernes detikbali,PER
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
tentara,NOR
israel,GPE
amerika serikat as teheran,NOR
khamenei,PER
israel,GPE
as,GPE
iran,GPE
iran,GPE
fars,PER
iran,GPE
khamenei,PER
pemerintah iran,NOR
khamene,PER
haris fadhil detikbali,PER
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
khamene,NOR
iran,GPE
israel,GPE
khamene,PER
televisi,NOR
pemerintah,NOR
iran,GPE
kham,PER
##ene,GPE
udara,EVT
israel,GPE
komandan iran,NOR
nuklir iran,NOR
pemerintah,NOR
ashura scroll,EVT
continue,EVT
doa,REG
khamene,PER
khamene,PER
surah,LAW
assaff,REG
iran,GPE
israel,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
iran,GPE
izin,EVT
allah swt,REG
juni ali khamenei,PER
allah,REG
republik islam,REG
zionis,REG
ayatollah khamenei,PER
islam,REG
surah assaff ayat,REG
presiden amerika serikat,NOR
donald trump,PER
israel,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei trump,PER
as,GPE
nuklir,PRD
iran,GPE
perdana menteri israel,NOR
benjamin netanyahu,PER
iran,GPE
iran,GPE
israel,GPE
netanyahu,PER
iran,GPE
iran,GPE
iran,GPE
iran,GPE
ayatollah,PER
pemimpin iran,NOR
ayatollah ali khamenei,PER
revolusi,EVT
islam,REG
iran,EVT
imam khomeini,PER
revolusi iran,NOR
shah,PER
republik islam,NOR
ayatollah ayatullah,PER
syiah,REG
ali khamenei,PER
pemimpin,NOR
iran,NOR
imam khomeini,PER
britannica,ORG
ayatollah ali khomenei rahbar,PER
pemimpin,NOR
iran,GPE
imam khomeini,PER
ayatollah ali khamene,PER
net,GPE
##anyahu,NOR
presiden as,NOR
donald trump,PER
israel,GPE
iran,GPE
##rae,PER
net,PER
##anyahu,NOR
iran,GPE
israel,GPE
iran,GPE
israel,GPE
israel,GPE
teheran,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
israel,GPE
iran,GPE
israel,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamene,PER
republik,REG
islam,NOR
allah swt,REG
ayatollah ali khamene,PER
ali khamenei,PER
alquran surah as saff,REG
pertolongan allah,REG
republik,NOR
islam,REG
zionis,NOR
allah,REG
ali khamenei,PER
allah,REG
##ine,EVT
##t conquest holy quran,EVT
the islamic republic,ORG
iran,GPE
israel,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamene,PER
republik,REG
islam,NOR
allah swt,REG
ayatollah ali khamene,PER
ali khamenei,PER
alquran surah as saff,REG
pertolongan allah,REG
republik,NOR
islam,REG
zionis,NOR
allah,REG
ali khamenei,PER
allah,REG
##ine,EVT
##t conquest holy quran,EVT
the islamic republic,ORG
farih maulana,PER
detik,ORG
israel,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
presiden amerika serikat as,NOR
donald trump,PER
israel,GPE
israel,GPE
pemimpin,NOR
iran,NOR
presiden trump,PER
israel,GPE
as,GPE
perdana menteri pm israel,NOR
benjamin netanyahu,PER
trump,PER
israel,GPE
khamene,PER
netanya,PER
##hu fox news,ORG
amerika serikat amerika serikat,GPE
presiden amerika serikat as,NOR
donald trump,PER
israel,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
as,GPE
israel,GPE
pemimpin tertinggi iran,NOR
presiden,PER
trump,PER
israel,GPE
as,GPE
perdana menteri pm israel,NOR
benjamin netanyahu,PER
trump,PER
israel,GPE
khamene,PER
netanya,PER
fox news,ORG
amerika serikat amerika serikat,GPE
israel,GPE
iran,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamene,PER
israel,GPE
iran,GPE
israel,GPE
israel,GPE
ap,NOR
presiden amerika serikat,NOR
donald trump,PER
ayatollah ali khamene,PER
israel,GPE
trump,PER
khamene,PER
israel,GPE
trump,PER
israel,GPE
ap,PER
as,GPE
ayatollah ali khamene,PER
iran,GPE
timur,NOR
maret,DAT
##hari,DAT
februari,DAT
amerika serikat,GPE
israel,GPE
teheran,GPE
teheran,GPE
jet tempur siluman dent,PRD
rudal jelajah,PRD
sandi epic fury pentagon,EVT
pasukan pertahanan,NOR
israel,GPE
id,ORG
invasi,NOR
darat konvensional,EVT
amerika serikat,GPE
israel,GPE
perang,EVT
irak,GPE
amerika israel,GPE
mojtaba khamene,PER
pemimpin,NOR
iran,NOR
ayatollah ali khamenei,PER
mojtaba khamenei,PER
ayatollah ali khamenei,PER
pemimpin,NOR
iran,GPE
amerika serikat,GPE
israel,GPE
ketiga,ORD
republik,GPE
islam iran,NOR
ulama,REG
iran,GPE
ana,PER
##lu ajans,PER
mojtaba khamenei,PER
majelis ahli iran lembaga,NOR
ulama konstitusional,NOR
ay,PER
pemimpin,NOR
iran,NOR
ali khamenei,PER
februari,DAT
amerika serikat israel,GPE
presiden republik indonesia ketua pdi perjuangan,NOR
pemerintah rakyat iran,NOR
##kuiii,LAW
dewan pimpinan pusat pdi perjuangan kedutaan iran jakarta,NOR
keadilan,PRD
megawati,PER
iran,GPE
kham,PER
wakil presiden gibran,NOR
rakabuming raka,PER
pemimpin tertinggi iran,NOR
ayatollah ali khamene,PER
amerika serikat,GPE
israel,GPE
februari,DAT
indonesia,GPE
cek fakta foto,ORG
artificial,PRD
intelligence ai,ORG
ayatollah ali khamene,PER
facebo,PRD
gibran ali kha,PER
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
ayatollah khamenei,PER
israel,GPE
iran,GPE
as,GPE
israel,GPE
ali khamenei,PER
ali khamene,PER
facebook,PRD
sayid ayatulloh ali khamenei,PER
firda,EVT
maret,DAT
america,ORG
donald trump,PER
amerika,GPE
israel,GPE
iran,GPE
amerika,GPE
maine california,GPE
operation epic fury,EVT
iran,GPE
ali khamenei,PER
bensin,PRD
amerika,GPE
ayatollah seyed mojtaba khamenei,PER
pemimpin tertinggi iran,NOR
ayatollah seyed ali khamenei,PER
amerika serikat,GPE
##israel,EVT
februari,DAT
tasmin,PER
mojtaba,NOR
majelis,NOR
ahli,ORG
iran,NOR
ali khamenei,PER
iran,GPE
mojtaba khamene,PER
pemimpin,NOR
iran,GPE
majelis ahli,NOR
ali khamenei,PER
asi,NOR
##srael lembaga menge,ORG
mojtaba khamenei,PER
ayatollah ali khamenei,PER
pemimpin tertinggi iran,NOR
asisrael,EVT
perang asisrael,EVT
khamenei khamenei,PER
iran,GPE
mojtaba khamenei,PER
iran,GPE
khamene,PER
jakarta,GPE
presiden ri,NOR
prabowo subianto,PER
pemimpin tertinggi iran,NOR
ayatollah ali khamene,PER
menteri negeri menlu,NOR
sugiono,PER
duta republik islam,NOR
mohammad boroujerd,PER
sugiono,PER
masoud pezesh,PER
pemimpin tertinggi iran,NOR
sugiono,PER
dubes iran,NOR
prabowo,PER
as,GPE
dubes boroujerd,NOR
sugiono,PER
timur,GPE
teheran,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
iran,GPE
amerika serikat as,GPE
pemerintah,NOR
komandan angkatan darat,NOR
trump,PER
iran as,GPE
trump,PER
perjanjian perdamaian nuklir,EVT
iran,GPE
trump,PER
teheran,GPE
senjata nuklir,PRD
trump gedung p,LOC
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
ali khamenei,PER
facebook,PRD
ali khamene,PER
iran,GPE
##u tanah,NOR
arab,GPE
ali khamenei imam khamenei,PER
teheran,GPE
pemimpin tertinggi republik islam iran,NOR
ayatollah ali khamenei,PER
pemimpin de facto myanmar,NOR
aung san suu kyi,PER
krisis khamene,EVT
teheran,GPE
times,ORG
suu kyi,PER
rohingya khamene,PER
islam,REG
rakhin,GPE
umat buddha umat muslim banglades myanmar,NOR
rohingya,GPE
teheran,GPE
pemimpin tertinggi iran,NOR
mojtaba khamenei,PER
ali larijani,PER
x,ORG
mojtab,NOR
lari,PER
amerika serikat,GPE
israel,GPE
larijani morteza,PER
ana,PER
iran,GPE
qatar,GPE
lari,PER
teheran,GPE
amerika serikat,GPE
##israel,PER
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
khamene,PER
iran,GPE
iran,GPE
islam,REG
iran,GPE
majelis,NOR
pakar badan ulama,ORG
delapan,CRD
khamenei khamenei,PER
hizbullah,NOR
as,GPE
israel,GPE
al jazeera,PER
ali khamene,PER
mo,PER
teheran,GPE
pemimpin spiritual iran,NOR
ayatollah ali khamenei,PER
donald trump,PER
as,GPE
amerika,GPE
khamene,PER
pemerintahan as,NOR
khamene,PER
iran,GPE
as,GPE
trump,PER
tujuh,CRD
iran,GPE
amerika,GPE
khamene,PER
khamene,PER
pekanbaru,GPE
kabupaten kampar,GPE
provinsi riau,GPE
ali khamenei,PER
pemimpin tertinggi negara iran,NOR
ali khamenei,PER
israel,GPE
##amerika,NOR
serikat,GPE
februari,DAT
ali khamenei,PER
kabupaten bayi kampar,GPE
ali khamene,PER
##bes iran,NOR
arsa,PER
ali khamene,PER
ali khamenei arsa,PER
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
israel,GPE
kham,PER
khamene,PER
facebook,ORG
khamene,PER
iran,GPE
usa,NOR
israel,GPE
pemimpin,NOR
pemimpin agung iran,NOR
ayatollah ali khamenei,PER
arab saudi,GPE
ulama syiah,REG
stasiun televisi pemerintah iran,NOR
ali khamene,PER
sheikh nimr alnimr,PER
ulama,REG
agama,REG
khamene,PER
khamene,PER
pemerintah saudi,NOR
nimr alnim,PER
shabnam,PER
von,ORG
hein,PER
##dw indonesia,ORG
teheran,NOR
israel,GPE
israel,GPE
palestina,GPE
pasukan proksi lebanon irak suriah,NOR
yaman,GPE
palestina,GPE
israel,GPE
hamas,GPE
israel,GPE
oktober,DAT
israel,GPE
hamas gaza,GPE
lebanon suriah yaman,GPE
iran,GPE
juni,DAT
as,GPE
israel,GPE
februari,GPE
as,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
israel,GPE
serikat,GPE
as,NOR
khamenei,PER
israel,GPE
khamenei,PER
khamene,PER
##r khamene,PER
kota,GPE
suci mash,LOC
##had,GPE
provinsi khurasan iran,GPE
tionghoa,PER
chindo,PER
indonesia,GPE
khamene,PER
mohammad,PER
dasar,ORG
alfabet,REG
alquran,REG
sekolah,REG
islam,REG
pemimpin agung iran,NOR
ayatollah ali khamenei,PER
arab saudi,GPE
ulama syiah,REG
stasiun televisi pemerintah iran,NOR
ali khamene,PER
sheikh nimr alnimr,PER
ulama,REG
agama,REG
khamene,PER
khamene,PER
pemerintah saudi,NOR
nimr alnim,PER
jakarta,GPE
wakil presiden,NOR
jusuf kalla,PER
jk,PER
pemimpin tertinggi iran,NOR
ayatollah ali khamenei khamenei,PER
israel,GPE
amerika serikat as,GPE
iran,GPE
sby,PER
trump khamenei,PER
as,GPE
iran,GPE
iran,NOR
jk,PER
jalan brawijaya raya pulo kebayoran jakarta selatan,LOC
jk,PER
iran,GPE
pemerintah,NOR
ketiga,CRD
presiden as,NOR
donald trump,PER
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
trump,PER
truth,PRD
social,ORG
israel,GPE
amerika serikat,GPE
rudal,PRD
iran,GPE
iran,GPE
rudal drone,PRD
ali khamenei,PER
juru bicara kementerian negeri iran,NOR
esmail baghaei ana,PER
iran,NOR
tasnim news agency,ORG
as,GPE
israel,NOR
teheran,GPE
ali larijani,PER
dewan keamanan nasional tertinggi iran,NOR
israel,GPE
teheran,GPE
ali khamenei perang larijan,PER
iran,GPE
iran,GPE
panglima pasukan garda revolusi iran,NOR
irgc qassem soleim,PER
amerika serikat,GPE
as,GPE
baghdad,GPE
januari,GPE
as,GPE
drone kamikaze lucas,PRD
kw,PER
shah,PER
##ed,NOR
iran,PER
larijan,PER
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
amerika serikat israel,GPE
ali khamanei,PER
kota,GPE
iran teheran,GPE
khamene,PER
khamene,PER
ali khamenei,PER
artificial intelligence ai,PRD
hive mod,PRD
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
amerika serikat,GPE
israel,GPE
iran,GPE
ayatolla,PER
garda revolusi,NOR
asisrael iran,NOR
uss abraham lincoln,PER
rudal,PRD
konstitusi,LAW
iran,GPE
iran,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
israel,GPE
amerika serikat teheran,GPE
pemerintah iran,NOR
pemerintah iran,NOR
as,NOR
pemerintah,NOR
tasnim news agency,ORG
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
truth social,ORG
khamene,PER
trump,PER
timnas iran,ORG
piala dunia,EVT
ali khamenei,PER
amerika serikat iran,GPE
ibukota iran teheran,GPE
amerika serikat kanada,GPE
amerika serikat,GPE
israel,GPE
iran teheran,GPE
amerika serikat,GPE
ayatollah ali khamenei,PER
iran,GPE
the new york times,ORG
teherankompascom pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
palestina,GPE
islam,REG
yerusalem,GPE
pemerintah khamenei,NOR
perancis,GPE
khamene,PER
##i,GPE
arab saudi,GPE
amerika serikat as,GPE
presiden iran,NOR
khamene,PER
nowruz,PER
iran,GPE
palestina,GPE
wakil presiden gibran,NOR
rakabuming raka,PER
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
amerika serikat,GPE
israel,GPE
februari,DAT
gibran,PER
ali khamenei,PER
maret,DAT
gibran,PER
khamenei,PER
indonesia,GPE
gibran,PER
ali khamenei,PER
iran,GPE
helikopter,PRD
teheran,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
iran,GPE
amerika serikat as,GPE
persatuan nasional,NOR
khamene,GPE
teheran,GPE
teheran,GPE
israel,GPE
iran,GPE
dewan pertahanan nasional khamenei,NOR
israel,GPE
as,GPE
juni,DAT
iran,GPE
israel,GPE
agenagen ame,ORG
riyadh,GPE
mahkota arab saudi,NOR
pangeran mohammed bin salman,PER
pemimpin tertinggi iran,NOR
ayatollah ali khamenei hitler,PER
pemimpin tertinggi hitler timur,NOR
the new york times,ORG
eropa,GPE
hitler,PER
iran,GPE
eropa timur,GPE
iran,GPE
yaman,GPE
bandara riyadh,FAC
november,DAT
macro,PER
putra mahkota,NOR
arab saudi,GPE
houthi,ORG
iran,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamene,PER
maret,DAT
cek fakta,ORG
artificial intelligence ai konteks,ORG
februari,DAT
israel,GPE
amerika serikat,GPE
pemimpin,NOR
iran,NOR
facebook,PRD
ali khamene,PER
iran,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamene,PER
israel,GPE
amerika serikat,GPE
facebook,PRD
ali khamenei,PER
rumah sakit iran ayat,FAC
##u,ORG
teheran,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei mansoureh khojasteh bagherzadeh,PER
pemerintah press tv,ORG
bagherzadeh,PER
amerika,GPE
serikat,NOR
##israel teheran press tv,ORG
khamenei,PER
iran,GPE
rudal hipersonik kh,PRD
##eibar,PER
khamenei,PER
pemerintah tas,NOR
##nim,PER
fars,ORG
ayatollah alireza arafi,PER
israel,GPE
amerika serikat as,GPE
februari,DAT
pemimpin tertinggi iran,NOR
ayatollah ali khamene,PER
khamene,PER
rumah,ORG
khamene,PER
facebook instagram,PRD
pemimpin iran,NOR
ayatollah ali khamene,PER
as,GPE
israel,GPE
ayatollah ali khamene,PER
pemimpin spiritual,NOR
islam,REG
syiah,NOR
pemimpin,REG
teheran,GPE
iran,GPE
duta perancis,NOR
pemimpin tertinggi negara,NOR
ayatollah ali khamenei,PER
charlie hebdo majalah mingguan,ORG
republik,GPE
islam,REG
desember,DAT
iran,GPE
september,DAT
iran,GPE
campur,EVT
kementerian negeri iran,NOR
duta perancis,NOR
nicolas roche,PER
perancis,GPE
muslim,REG
departemen pertahanan amerika serikat pentagon,NOR
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
april khamenei,PER
teheran,GPE
israel,GPE
amerika serikat,GPE
februari,DAT
ayatolla,PER
april,PER
facebook,PRD
khamene,PER
pentagon,NOR
pemimpin,NOR
iran,NOR
al jazeera,ORG
cek fakta,ORG
teheran,GPE
iran,GPE
upacara pemakaman,EVT
pemimpin tertinggi,NOR
ayatollah ali khamene,PER
umat islam,REG
masjid agung imam khomenei teheran,LOC
dewan,NOR
koordinasi pembangunan islam,ORG
ir,PER
##na,ORG
kham,PER
##ene,NOR
##i,ORG
mash,GPE
##had,LOC
timur laut iran,GPE
operation genesis,EVT
khamene,PER
asi,ORG
##s,PER
##rae,ORG
khamene,PER
khamene,PER
presiden amerika serikat,NOR
donald trump,PER
iran,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei trump,PER
washington,GPE
teheran,GPE
trump,PER
truth social,EVT
gabungan,NOR
as,GPE
israel,GPE
iran,NOR
ali khamenei,PER
presiden iran,NOR
iran,GPE
trump,PER
asis,PER
##rael,NOR
iran,GPE
israel,GPE
april,DAT
rudal balistik,PRD
drone,PRD
iran,GPE
israel,GPE
khamene,PER
amerika serikat,GPE
kham,WOA
the most powerful man,WOA
iran,GPE
forbes,ORG
april,DAT
iran,GPE
teheran,GPE
twitter,ORG
tw,LAW
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
vaksin virus corona as inggris,PRD
vaksin,PRD
as,GPE
inggris,GPE
khamene,GPE
twitter,PRD
donald trump,PER
perancis,GPE
perancis,PRD
pemimpin twit tagar coronavaccine twitter,ORG
tw,PRD
tw,PER
##it,PRD
twitter,ORG
teheran,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
israel,GPE
serikat,GPE
khamene,PER
rakyat iran,NOR
mulia ayatollah agung imam sayyid ali khamenei,PER
revolusi islam,NOR
as,GPE
zionis,NOR
februari,DAT
serangan,PRD
asisrae,ORG
khamene,PER
khamene,PER
asis,ORG
##rae,EVT
iran,GPE
khamene,PER
teheran,GPE
##kan berk,EVT
teheran,GPE
sekretaris dewan keamanan nasional iran,NOR
ali larijani,PER
ayatollah ali khamenei,PER
amerika,GPE
serikatisrael,NOR
al,PER
jaz,ORG
##eera,PER
ali larijani,PER
khamene,PER
iran,GPE
konstitusi,LAW
iran,GPE
khamenei,PER
iran,GPE
lari,PER
iran,GPE
presiden rusia,NOR
vladimir putin,PER
moskwa,NOR
teluk b,LOC
wakil menteri kesehatan iran,NOR
alireza raisi,PER
alire,PER
pemerintah,NOR
iran,GPE
china,GPE
penasihat pemimpin tertinggi iran,NOR
ali khamenei mohammad mirmohammad,PER
radio pemerintah iran,NOR
mirmohammadi,PER
middle east eye,ORG
mirmohammadi,PER
iran,GPE
pekanbaru,GPE
ap,PER
perwakilan kedutaan iran,NOR
ap,NOR
kabupaten,GPE
kampar riau,NOR
kedubes iran,NOR
ali khamenei ap,PER
ali khamenei,PER
asis,PER
##bes iran,NOR
iran,GPE
kedu,ORG
##bes rumah,NOR
teheran,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
israel,GPE
amerika serikat as,GPE
iran,GPE
amerika serikat,GPE
israel,GPE
iran,GPE
iran,GPE
khamene,PER
teheran,GPE
teheran,GPE
hou,ORG
##thi,NOR
yaman,GPE
hiz,NOR
##bullah,ORG
lebanon,GPE
hamas,NOR
palestina,GPE
perang israelhamas,EVT
presiden iran,NOR
masoud pezeshkian,PER
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
amerika serikat,GPE
israel,GPE
pemerintah,NOR
pemimpin tertinggi iran,NOR
stasiun televisi pemerintah iran,NOR
khamenei,PER
satelit airbus asap hitam,PRD
kota,GPE
teheran,GPE
gaza,GPE
hamas,NOR
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
palestina,GPE
hamas,NOR
amerika serikat,GPE
israel,GPE
hamas,NOR
ayatolla,PER
hamas,NOR
iran,NOR
khamene,PER
hamas,GPE
amerika serikat,GPE
pemerintah,NOR
israel,GPE
amerika serikat,GPE
israe,PER
dubai,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
amerika serikat as,GPE
khamene,PER
pemerintah as,NOR
washington,GPE
khamene,PER
teheran,GPE
as,GPE
iran,GPE
miliar,MON
dolar,MON
presiden iran,NOR
masoud pezeshkian,PER
khamene,PER
teheran,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei farideh moradkhani,PER
pemerintah asing,NOR
pemerintah iran,NOR
kejaksaan,NOR
tw,EVT
mahmoud moradkhani,PER
mahmoud moradkhani,PER
farideh moradkhani,PER
pemerintah,NOR
iran,GPE
pemerintah asing,NOR
iran,GPE
washington dc,GPE
presiden amerika serikat,NOR
donald trump,PER
perdana menteri pm israel,NOR
benjamin netanyahu,PER
iran,GPE
netanyahu,PER
trump,PER
iran,GPE
trump,PER
pemimpin,NOR
iran,NOR
teheran,GPE
trump,PER
iran,GPE
bom,PRD
jepang,GPE
decapitation strike s,EVT
pemimpin tertinggi iran,NOR
ayatollah ali khamene,PER
senjata,EVT
israel,GPE
televisi,ORG
pemerintah iran,NOR
perdana,EVT
juni,NOR
israel,GPE
trump,PER
amerikan serikat,GPE
as,GPE
israel,GPE
khamene,PER
iran,GPE
##rae,PER
iran,GPE
as,GPE
khamene,PER
donald trump,PER
as,GPE
iran,GPE
jakarta,GPE
prabowo subianto,PER
pemimpin tertinggi iran,NOR
ayatollah ali khamenei ali khamenei,PER
israel,GPE
amerika serikat as,GPE
sekretaris kabinet,NOR
teddy indra wijaya,PER
pemimpin,NOR
iran,NOR
maret,DAT
teddy,PER
instagram kabinet,PRD
prabowo,PER
ayatollah ali khamenei teddy,PER
prabowo,PER
menteri negeri menlu,NOR
sugion,PER
reza pahlavi,PER
ayatollah ali khamenei,PER
amerika serikat,GPE
as,GPE
israel,GPE
iran,GPE
ali khamene,PER
pahlavi,NOR
iran,GPE
as,GPE
israel,GPE
reza pahlavi,PER
shah iran,NOR
mohammad reza pahlavi,PER
teheran,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
amerika serikat,GPE
israel,GPE
teheran,GPE
februari,DAT
khamenei,PER
##icial intelligence,PRD
ai,ORG
foto,PRD
foto ai generatif,PRD
teheran,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
perancis,GPE
pemerintah eropa,NOR
nabi muhammad,REG
nabi,REG
muhammad khamenei,PER
perancis,GPE
pemerintah,NOR
khamenei,PER
al jazeera,PER
pemimpin,NOR
perancis,GPE
eropa,GPE
washington dc,GPE
amerika serikat as,GPE
israel iran,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamene,PER
presiden as,NOR
donald trump,PER
trump,PER
iran,GPE
trump,PER
ali khamenei,PER
reza pahlav,PER
##i,NOR
iran,GPE
trump,PER
iran,GPE
senjata nuklir,PRD
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
israel,GPE
operasi rising lion,EVT
khamene,PER
iran,GPE
israel,GPE
amerika serikat,GPE
khamene,PER
trump,PER
israel,GPE
iran,GPE
amerika,GPE
khamene,PER
israel,GPE
as,GPE
nuklir,LOC
iran,GPE
khamene,PER
donald trump,PER
as,NOR
washington dc,GPE
presiden amerika serikat as,NOR
donald trump,PER
perdana menteri pm israel,NOR
benjamin netanyahu,PER
iran,GPE
trump,PER
iran,GPE
trump,PER
pemimpin tertinggi iran,NOR
ali khamenei,PER
teheran,GPE
trump,PER
iran,GPE
ir,LOC
##g,GPE
##c,LOC
selat hormuz,LOC
jakarta,GPE
duta republik islam iran indonesia,NOR
mohammad boroujerdi iran,PER
dewan kepemimpinan pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
amerika serikat,GPE
asisrael,PER
boroujerd,PER
menteng,FAC
jakarta,GPE
pusat,LOC
borouj,PER
dewan kepemimpinan anggota presiden republik islam iran,NOR
masoud pezeshkia,PER
ketua kekuasaan yudikatif iran,NOR
ketiga,CRD
dewan ahli,NOR
dewan penjaga konstitusi dubes iran,NOR
prabowo,PER
timur,GPE
pemerintah iran,NOR
ayatollah ali khamenei khamene,PER
amerika serikat,GPE
israel,GPE
kota,GPE
teheran,GPE
iran,GPE
islam,GPE
iran,GPE
pemerintah iran,NOR
reza pahlavi,PER
pahlavi,GPE
pemerintahan,NOR
republik,GPE
islam,NOR
pemimpin,NOR
iran,NOR
ayatollah ali khamenei,PER
amerika serikat as,GPE
israel teheran,GPE
iran,GPE
washington,GPE
teheran,GPE
trump,PER
khamenei,PER
iran,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
asisrael,PER
reza pahlavi,PER
teheran,GPE
revolusi,EVT
pah,GPE
##lav,EVT
##i,GPE
rezim,NOR
republik islam,NOR
reza pahlavi,PER
iran,GPE
as,GPE
israel,GPE
pemerintahan demokratis iran,NOR
pahlavi,PER
pemimpin,NOR
iran,NOR
ayatollah ali khamenei,PER
amerika serikat,GPE
israel,GPE
februari,DAT
islam,REG
pah,PER
##lav,NOR
iran,GPE
israel as,GPE
netanya,PER
iran,GPE
reza kha,PER
iran,GPE
ayatollah ali khamenei,PER
amerika serikat,GPE
as,NOR
israel,GPE
presiden iran,NOR
dewan wali iran,NOR
dewan wali,NOR
konstitusi iran,LAW
iran,GPE
ayatollah ali khamene,PER
iran,GPE
asisrae,PER
pemimpin tertinggi iran,NOR
ayatollah ali khamene,PER
amerika serikat,GPE
israel,GPE
republik islam iran,NOR
iran,GPE
negosiasi nuklir,LOC
iran,GPE
ayatollah ali khamenei,PER
ana,PER
##lu,PER
ali khamenei,PER
reza pahlavi,PER
iran,GPE
teheran,GPE
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
as,GPE
februari,DAT
kamera pengawas cctv,PRD
khamene,PER
mojtaba,LOC
khamene,PER
cia,NOR
mossad wion,PER
perang timur,EVT
lebanon,GPE
al,PER
maya,ORG
##deen,EVT
teheran,GPE
khamene,PER
al quran,REG
pemerintah,NOR
jakarta,GPE
ketua dpr ri,NOR
puan maharani,PER
pemimpin tertinggi republik islam iran,NOR
ayatollah ali khamenei,PER
rapat paripurna pembukaan sidang iv kompleks parlemen jakarta,EVT
dpr ri,NOR
ayatolla,PER
pimpinan tertinggi republik islam iran,NOR
israel,GPE
amerika serikat,GPE
iran,GPE
indonesia,NOR
china,GPE
moj,EVT
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
maret,DAT
februari,DAT
ali khamenei,PER
maret,DAT
facebook,PRD
ali khamenei,PER
alhamdulillah,REG
pemimpin agung,NOR
ali khamenei,PER
maret,PER
ali khamenei,PER
iran,GPE
ayatollah ali khamenei,PER
israel,GPE
khamene,PER
khamene,PER
tim cek fakta,ORG
khamene,PER
facebook,PRD
iran,GPE
tim cek fakta,ORG
stasiun televisi pemerintah iran,NOR
pemimpin tertinggi,NOR
ayatollah ali khamenei khamenei,PER
amerika serikat,GPE
israel,GPE
teheran,GPE
iran,GPE
iran,GPE
selat hormuz,LOC
instagram,PRD
shah,PER
iran,NOR
republik,GPE
islam,NOR
reza pahlavi,PER
amerika serikat,GPE
iran,GPE
khamene,PER
pemimpin tertinggi iran,NOR
ayatollah ali khamenei,PER
iran,GPE
tasnim far,PER
the new york times,ORG
satelit airbus defence and space,PRD
israel,GPE
amerika serikat,GPE
beite rahbari,PER
ali khamenei,PER
reza pahlavi,PER
iran,GPE
langsung,PER
khamene,PER
iran,GPE
ali khamenei,PER
bunker teheran,LOC
